,cities,aqi,latitude,longitude,pm25,pm10,o3,uvi,date
40,Ho Chi Minh City ,68,10.782978,106.700711,68.0,29.0,2.0,1.0,11-30-2021
41,Bangalore,59,12.938539,77.5901,59.0,21.0,5.0,2.0,11-30-2021
42,Hyderabad,159,17.38405,78.45636,159.0,57.0,16.0,1.0,11-30-2021
43,Johannesburg,-,-26.178666,28.13314,91.0,9.0,5.0,4.0,11-30-2021
44,Baghdad,170,33.3128,44.3615,170.0,39.0,9.0,1.0,11-30-2021
45,Toronto,25,43.653226,-79.3831843,25.0,8.0,9.0,0.0,11-30-2021
46,Santiago,53,-33.464142,-70.660797,38.0,46.0,11.0,0.0,11-30-2021
48,San Francisco ,55,37.76595,-122.39902,55.0,63.0,2.0,0.0,11-30-2021
49,Philadelphia ,23,39.934635,-75.126126,23.0,22.0,5.0,0.0,11-30-2021
51,Miami ,26,25.794722222222,-80.215555555556,26.0,25.0,8.0,0.0,11-30-2021
53,Madrid,34,40.4167754,-3.7037902,34.0,22.0,11.0,0.0,11-30-2021
54,Ahmedabad,152,22.9987886,72.6029661,152.0,52.0,11.0,1.0,11-30-2021
55,Boston ,24,42.3584308,-71.0597732,17.0,5.0,11.0,0.0,11-30-2021
57,Khartoum,166,15.5007,32.5599,166.0,142.0,15.0,2.0,11-30-2021
59,Shenyang,55,41.805698,123.431475,55.0,46.0,2.0,0.0,11-30-2021
61,Pune,232,18.529603,73.849586,232.0,46.0,15.0,0.0,11-30-2021
62,Riyadh,72,24.7136,46.6753,72.0,74.0,8.0,1.0,11-30-2021
63,Singapore,17,1.296183,103.846181,17.0,28.0,4.0,3.0,11-30-2021
64,Washington ,51,38.8577,-77.05922,51.0,11.0,5.0,0.0,11-30-2021
65,Yangon ,95,16.8256,96.1445,95.0,34.0,7.0,2.0,11-30-2021
66,Milan ,34,45.470501,9.19746075,34.0,9.0,15.0,0.0,11-30-2021
67,Atlanta ,24,33.720192,-84.357056,24.0,10.0,11.0,0.0,11-30-2021
68,Chongqing,112,29.56301,106.551557,112.0,19.0,1.0,1.0,11-30-2021
69,Alexandria,51,38.8577,-77.05922,51.0,11.0,5.0,0.0,11-30-2021
70,Nanjing ,44,32.060255,118.796877,38.0,58.0,1.0,1.0,11-30-2021
72,Barcelona,29,41.38534,2.153822,25.0,32.0,5.0,0.0,11-30-2021
73,Chengdu,114,30.6250145,104.0670559,114.0,28.0,4.0,1.0,11-30-2021
74,Detroit ,46,42.3149367,-83.0363633,46.0,9.0,7.0,0.0,11-30-2021
75,Ankara,81,39.91832282586664,32.82290472883654,81.0,17.0,22.0,0.0,11-30-2021
76,Abidjan,154,5.36,-4.0083,154.0,44.0,4.0,2.0,11-30-2021
77,Athens,55,37.988028,23.727628,55.0,34.0,25.0,0.0,11-30-2021
79,Sydney,7,-33.872468,151.213337,5.0,11.0,6.0,2.0,11-30-2021
80,Monterrey,78,25.73,-100.30972222222,78.0,45.0,5.0,1.0,11-30-2021
81,Phoenix ,26,33.403055555556,-112.07527777778,20.0,29.0,3.0,1.0,11-30-2021
82,Busan ,25,35.1795543,129.0756416,25.0,13.0,5.0,1.0,11-30-2021
86,Melbourne,31,-37.8073959,144.97,31.0,25.0,10.0,2.0,11-30-2021
88,Hangzhou ,139,30.274085,120.15507,139.0,75.0,1.0,1.0,11-30-2021
89,Algiers,30,36.7558,3.039114,30.0,10.0,17.0,1.0,11-30-2021
92,Xi'An ,149,34.341568,108.940175,149.0,19.0,7.0,1.0,11-30-2021
94,Qingdao ,28,36.067082,120.38264,21.0,13.0,13.0,0.0,11-30-2021
98,Durban,37,-29.858283,31.027286,37.0,32.0,7.0,4.0,11-30-2021
99,Kanpur,183,26.4703088,80.3251749,183.0,69.0,9.0,1.0,11-30-2021
100,Addis Ababa,53,9.058498,38.761642,53.0,68.0,10.0,3.0,11-30-2021
102,Jeddah ,147,21.543486,39.17299,147.0,82.0,13.0,1.0,11-30-2021
103,Naples ,114,40.85361,14.27167,114.0,13.0,13.0,0.0,11-30-2021
104,Kabul,193,34.554382,69.2046,193.0,27.0,27.0,3.0,11-30-2021
105,Salvador,38,13.70630556,-89.20011667,38.0,9.0,9.0,3.0,11-30-2021
106,Harbin ,87,45.7258,126.646,87.0,28.0,4.0,0.0,11-30-2021
109,Cape Town,28,-33.913833,18.425167,28.0,13.0,6.0,2.0,11-30-2021
112,San Diego ,17,32.7101770008584,-117.142665,68.0,40.0,6.0,0.0,11-30-2021
113,Seattle ,30,47.597222,-122.319722,30.0,2.0,12.0,0.0,11-30-2021
114,Rome,30,41.8932669,12.4753855,30.0,16.0,11.0,0.0,11-30-2021
116,Taichung,63,24.099611,120.677689,63.0,20.0,2.0,2.0,11-30-2021
117,Jaipur,142,26.9405166,75.8007016,142.0,55.0,12.0,1.0,11-30-2021
120,Kaohsiung,97,22.608711,120.312017,97.0,40.0,11.0,2.0,11-30-2021
121,Minneapolis ,9,44.9536,-93.2581,9.0,12.0,9.0,0.0,11-30-2021
122,Lucknow,197,26.84578611,80.93874444,197.0,73.0,12.0,1.0,11-30-2021
124,Tel Aviv-Yafo,66,32.066158,34.777819,66.0,39.0,25.0,1.0,11-30-2021
126,Kyiv ,19,50.444,30.54,19.0,8.0,17.0,0.0,11-30-2021
128,Mashhad,173,36.3382,59.5853,173.0,22.0,3.0,1.0,11-30-2021
129,Izmir,37,38.432222,27.144444,37.0,37.0,26.0,0.0,11-30-2021
130,Rawalpindi,197,33.7235,73.11822,197.0,54.0,5.0,1.0,11-30-2021
131,Tashkent,166,41.3672,69.2725,166.0,17.0,1.0,0.0,11-30-2021
132,Katowice,69,50.264611,18.975028,69.0,22.0,14.0,0.0,11-30-2021
133,Changchun,109,43.816964,125.323471,109.0,26.0,4.0,0.0,11-30-2021
135,Daegu ,25,35.8714354,128.601445,25.0,21.0,1.0,0.0,11-30-2021
136,Changsha,53,28.228209,112.938814,53.0,46.0,8.0,1.0,11-30-2021
137,Nagpur,155,21.152875,79.0517531,155.0,53.0,12.0,2.0,11-30-2021
140,Lisbon,7,38.748611111111,-9.1488888888889,46.0,32.0,12.0,0.0,11-30-2021
141,Frankfurt Am Main,11,50.126666666667,8.7483333333333,36.0,5.0,18.0,0.0,11-30-2021
142,Nanchang,73,28.683213,115.858121,68.0,44.0,4.0,1.0,11-30-2021
144,Tampa ,19,27.928333333333,-82.454444444444,19.0,11.0,10.0,1.0,11-30-2021
146,Dalian,26,38.914003,121.614682,5.0,32.0,4.0,0.0,11-30-2021
148,Shijiazhuang,65,38.042307,114.51486,65.0,60.0,1.0,0.0,11-30-2021
149,Manchester,52,53.48152,-2.237881,52.0,7.0,23.0,0.0,11-30-2021
153,Fukuoka,46,33.5903547,130.4017155,46.0,9.0,3.0,1.0,11-30-2021
157,Denver ,25,39.751184,-104.987625,25.0,8.0,7.0,0.0,11-30-2021
158,St. Louis ,53,38.656449,-90.198548,53.0,10.0,7.0,0.0,11-30-2021
159,Colombo,38,6.913047,79.84807,38.0,40.0,6.0,3.0,11-30-2021
161,Baltimore ,17,39.2981,-76.604698,17.0,13.0,5.0,0.0,11-30-2021
162,Sapporo,42,43.0620958,141.3543763,42.0,30.0,8.0,0.0,11-30-2021
165,Preston,24,53.76559,-2.680353,24.0,5.0,27.0,0.0,11-30-2021
166,Patna,379,25.619651,85.147382,170.0,70.0,10.0,1.0,11-30-2021
168,Warsaw,50,52.225171,21.014783,50.0,50.0,5.0,0.0,11-30-2021
172,Yokohama,34,35.4437078,139.6380256,13.0,28.0,2.0,1.0,11-30-2021
173,Kunming,102,24.880182,102.832861,102.0,21.0,3.0,1.0,11-30-2021
174,Guiyang,102,26.647661,106.630154,102.0,29.0,5.0,0.0,11-30-2021
175,Zibo,99,36.813094,118.054868,99.0,45.0,2.0,1.0,11-30-2021
176,Incheon,68,37.4562557,126.7052062,68.0,24.0,1.0,0.0,11-30-2021
177,Zhengzhou,46,34.7466,113.625368,46.0,41.0,8.0,0.0,11-30-2021
178,Taiyuan,68,37.87059,112.548879,68.0,23.0,8.0,0.0,11-30-2021
179,Chaoyang ,34,41.573734,120.450372,34.0,10.0,10.0,0.0,11-30-2021
180,Brasilia,30,-22.563603777,-47.414314034,30.0,60.0,14.0,0.0,11-30-2021
181,Zhongshan,50,22.516686,113.392795,50.0,33.0,5.0,1.0,11-30-2021
186,Fuzhou ,68,26.074508,119.296494,68.0,19.0,9.0,1.0,11-30-2021
187,Lanzhou,107,36.061255,103.834377,107.0,17.0,6.0,1.0,11-30-2021
188,Xiamen,65,24.479834,118.089425,65.0,26.0,11.0,2.0,11-30-2021
190,Zaozhuang,58,34.810488,117.323725,55.0,46.0,1.0,1.0,11-30-2021
191,Jilin,129,43.837883,126.549572,129.0,30.0,5.0,0.0,11-30-2021
192,Linyi,104,35.104672,118.356448,104.0,46.0,1.0,1.0,11-30-2021
193,Wenzhou,50,27.994267,120.699367,50.0,19.0,4.0,1.0,11-30-2021
199,Brisbane,20,-27.4774,153.028,20.0,5.0,5.0,0.0,11-30-2021
202,Nanchong,134,30.837793,106.110698,134.0,19.0,10.0,1.0,11-30-2021
203,Nanning,87,22.817239,108.366129,87.0,28.0,11.0,1.0,11-30-2021
204,Urumqi,87,43.825645,87.616823,87.0,9.0,7.0,0.0,11-30-2021
205,Yantai,42,37.463822,121.447935,42.0,28.0,4.0,0.0,11-30-2021
206,Fuyang ,104,30.048735,119.960109,104.0,37.0,1.0,1.0,11-30-2021
207,Tangshan,50,39.630867,118.180194,50.0,40.0,1.0,0.0,11-30-2021
209,Hamburg,20,53.59235,10.053724,17.0,14.0,3.0,0.0,11-30-2021
210,Budapest,24,47.508605,19.02764,24.0,9.0,19.0,0.0,11-30-2021
213,Xuzhou,50,34.20475,117.284072,50.0,59.0,1.0,0.0,11-30-2021
215,Baotou,68,40.657449,109.840347,68.0,2.0,13.0,0.0,11-30-2021
216,Hefei,82,31.821448,117.227271,82.0,46.0,2.0,1.0,11-30-2021
217,Vienna,13,48.2167394444444,16.3809180555556,13.0,7.0,21.0,0.0,11-30-2021
218,Indore,144,22.719444,75.870278,144.0,46.0,14.0,2.0,11-30-2021
221,Belgrade,55,44.796959,20.475288,55.0,9.0,24.0,0.0,11-30-2021
222,Suzhou ,31,31.298886,120.585316,25.0,86.0,1.0,0.0,11-30-2021
223,Suizhou,63,31.690216,113.382458,63.0,35.0,7.0,0.0,11-30-2021
224,Nanyang,63,32.990833,112.528322,63.0,19.0,5.0,1.0,11-30-2021
227,Ningbo,170,29.868336,121.54399,170.0,36.0,2.0,1.0,11-30-2021
229,Anshan,65,41.108546,122.994646,65.0,46.0,2.0,0.0,11-30-2021
230,Tengzhou,31,35.038775,117.182015,25.0,28.0,8.0,1.0,11-30-2021
231,Qiqihaer,82,47.354348,123.918186,82.0,16.0,4.0,0.0,11-30-2021
233,Taian,34,36.200252,117.087614,34.0,46.0,2.0,1.0,11-30-2021
234,Datong,76,40.076816,113.300126,76.0,18.0,8.0,0.0,11-30-2021
235,Kobe,46,34.690083,135.1955112,46.0,15.0,3.0,1.0,11-30-2021
236,Hama,17,34.2200983,132.2201848,17.0,8.0,7.0,0.0,11-30-2021
237,Esfahan,135,32.6562118,51.6707195,135.0,49.0,2.0,1.0,11-30-2021
242,Luoyang,80,34.618452,112.45429,80.0,29.0,10.0,0.0,11-30-2021
243,Quito,28,-0.221393,-78.514005,5.0,16.0,4.0,0.0,11-30-2021
244,Jinjiang,61,24.8978,118.5972,61.0,27.0,12.0,1.0,11-30-2021
246,Perth,21,56.399327,-3.434182,21.0,4.0,24.0,0.0,11-30-2021
247,Daejeon ,42,36.3504119,127.3845475,42.0,22.0,1.0,0.0,11-30-2021
248,Kyoto,22,35.0116363,135.7680294,17.0,12.0,3.0,1.0,11-30-2021
250,Tangerang,76,-6.236704,106.79324,76.0,76.0,2.0,2.0,11-30-2021
251,Bhopal,163,23.233584,77.400574,163.0,46.0,13.0,1.0,11-30-2021
252,Coimbatore,60,10.942451,76.978996,60.0,23.0,2.0,2.0,11-30-2021
254,Gwangju ,34,35.1595454,126.8526012,34.0,11.0,1.0,1.0,11-30-2021
257,Fushun,112,41.880872,123.957208,112.0,46.0,3.0,0.0,11-30-2021
260,Wuxi,65,31.490637,120.311143,65.0,58.0,1.0,1.0,11-30-2021
261,Hechuan,139,29.999162,106.264407,139.0,19.0,9.0,1.0,11-30-2021
262,Wujin,50,31.810077,119.974454,50.0,58.0,1.0,1.0,11-30-2021
263,Guigang,74,23.0944,109.6014,74.0,39.0,15.0,1.0,11-30-2021
265,Huhehaote,99,40.842299,111.749138,99.0,1.0,12.0,1.0,11-30-2021
266,Santa Cruz,61,36.98401,-121.99097,61.0,38.0,4.0,0.0,11-30-2021
268,Ludhiana,177,30.9019147,75.8077749,177.0,65.0,14.0,1.0,11-30-2021
269,Novosibirsk,11,55.026021,82.907958,11.0,63.0,9.0,1.0,11-30-2021
270,Neijiang,112,29.580229,105.058433,112.0,28.0,11.0,1.0,11-30-2021
274,Weifang,53,36.706774,119.161756,53.0,44.0,2.0,0.0,11-30-2021
275,Daqing,91,46.58931,125.103784,91.0,11.0,7.0,0.0,11-30-2021
277,Tongzhou,17,39.93435,116.67503,17.0,51.0,1.0,1.0,11-30-2021
278,Tabriz,130,38.079304,46.288699,130.0,17.0,8.0,1.0,11-30-2021
282,Huainan,97,32.645,117.0083,97.0,46.0,3.0,1.0,11-30-2021
283,Kochi,25,33.5489621,133.5987948,25.0,10.0,12.0,0.0,11-30-2021
284,Suining,117,30.532847,105.592898,117.0,12.0,12.0,1.0,11-30-2021
285,Bozhou,50,33.8561,115.7831,50.0,46.0,3.0,1.0,11-30-2021
286,Zhanjiang,38,21.270702,110.359387,38.0,32.0,16.0,1.0,11-30-2021
287,Changde,129,29.031673,111.698497,129.0,26.0,11.0,1.0,11-30-2021
289,Suzhou ,31,31.298886,120.585316,25.0,86.0,1.0,0.0,11-30-2021
290,Xintai,70,35.897545,117.795067,70.0,19.0,10.0,1.0,11-30-2021
293,Handan,163,36.625604,114.539085,163.0,46.0,1.0,1.0,11-30-2021
295,Kawasaki,53,35.5309058,139.7030511,53.0,30.0,2.0,1.0,11-30-2021
297,Pingdu,38,36.790556,119.944722,38.0,19.0,7.0,1.0,11-30-2021
298,Agra,196,27.19865833,78.00598056,196.0,73.0,8.0,1.0,11-30-2021
299,Jiangyin,34,31.920658,120.284939,34.0,58.0,1.0,1.0,11-30-2021
302,Bursa,27,40.19572,29.04588,27.0,23.0,26.0,0.0,11-30-2021
307,Dengzhou,161,37.808611,120.7725,161.0,17.0,9.0,0.0,11-30-2021
311,Guarulhos,82,-23.455534258,-46.518533403,82.0,69.0,19.0,0.0,11-30-2021
312,Heze,78,35.23375,115.480656,78.0,46.0,3.0,1.0,11-30-2021
313,Auckland,27,-36.84742808,174.7657304,27.0,6.0,7.0,0.0,11-30-2021
315,Shantou,55,23.353299,116.681838,55.0,26.0,8.0,2.0,11-30-2021
319,Thane,166,19.1375,72.915056,166.0,46.0,9.0,1.0,11-30-2021
320,San Antonio ,15,29.4239327,-98.5805051,15.0,8.0,5.0,1.0,11-30-2021
321,Xinyang,97,32.146984,114.091023,97.0,35.0,5.0,0.0,11-30-2021
322,Luzhou,124,28.87182,105.442347,124.0,35.0,8.0,1.0,11-30-2021
323,Almaty,163,43.222,76.851,163.0,4.0,3.0,0.0,11-30-2021
324,Changshu,42,31.653686,120.752503,42.0,58.0,1.0,1.0,11-30-2021
327,Laiwu,171,36.213691,117.676731,171.0,28.0,3.0,0.0,11-30-2021
328,Xiaoshan,117,30.18194444,120.2697222,117.0,44.0,1.0,1.0,11-30-2021
329,Yiyang,95,28.55386,112.35518,95.0,28.0,10.0,1.0,11-30-2021
331,Liuzhou,80,24.325502,109.415953,80.0,38.0,12.0,1.0,11-30-2021
337,Varanasi,185,25.35055556,82.97833333,185.0,69.0,9.0,1.0,11-30-2021
339,Kampala,142,0.300225,32.591553,142.0,100.0,4.0,3.0,11-30-2021
342,Huaian,65,33.61036,119.015288,65.0,56.0,1.0,1.0,11-30-2021
343,Shiraz,79,29.6092966,52.5300873,79.0,55.0,4.0,1.0,11-30-2021
347,Kalyan,159,19.25292,73.142019,159.0,46.0,11.0,1.0,11-30-2021
348,Quanzhou,65,24.874699,118.675464,65.0,16.0,12.0,1.0,11-30-2021
349,Adana,91,37.0040545100691,35.3440100793125,91.0,36.0,19.0,0.0,11-30-2021
350,Bazhong,104,31.867903,106.747478,104.0,13.0,12.0,0.0,11-30-2021
358,Jingzhou,59,30.335165,112.239741,59.0,19.0,11.0,1.0,11-30-2021
359,Saitama,42,35.8617292,139.6454822,42.0,26.0,2.0,1.0,11-30-2021
360,Prague,14,50.094238,14.442049,9.0,28.0,4.0,0.0,11-30-2021
363,Meerut,303,29.06351,77.709723,303.0,62.0,14.0,1.0,11-30-2021
364,Hyderabad,159,17.38405,78.45636,159.0,57.0,16.0,1.0,11-30-2021
367,Yixing,42,31.3542,119.8177,42.0,58.0,1.0,1.0,11-30-2021
368,Mianyang,124,31.46745,104.679114,124.0,15.0,9.0,0.0,11-30-2021
369,Wenling,78,28.36722222,121.3872222,78.0,19.0,10.0,1.0,11-30-2021
371,Ottawa,13,45.4215296,-75.6971931,17.0,6.0,7.0,0.0,11-30-2021
374,Hiroshima,30,34.3852029,132.4552927,21.0,8.0,3.0,1.0,11-30-2021
375,Chifeng,23,42.257817,118.886856,9.0,8.0,7.0,0.0,11-30-2021
376,Nashik,152,20.0073285,73.7762427,152.0,48.0,15.0,2.0,11-30-2021
379,Rizhao,22,35.416377,119.526888,5.0,46.0,5.0,1.0,11-30-2021
381,Tianshui,153,34.5814,105.7281,153.0,33.0,14.0,1.0,11-30-2021
382,Huzhou,53,30.894348,120.086823,53.0,54.0,1.0,1.0,11-30-2021
386,Adelaide,24,-34.928853,138.600943,1.0,8.0,7.0,3.0,11-30-2021
390,Yuzhou,112,29.56301,106.551557,112.0,19.0,1.0,1.0,11-30-2021
391,Leshan,155,29.552106,103.765568,155.0,24.0,2.0,1.0,11-30-2021
394,Jabalpur,182,23.168606,79.932247,182.0,46.0,11.0,1.0,11-30-2021
396,Jimo,42,36.308156,120.39492,42.0,19.0,9.0,1.0,11-30-2021
397,Dingzhou,20,38.516168,114.990251,17.0,28.0,1.0,1.0,11-30-2021
398,Calgary,86,51.0471506,-114.0731477,86.0,3.0,6.0,0.0,11-30-2021
403,Zoucheng,42,35.411389,116.972222,42.0,28.0,7.0,1.0,11-30-2021
405,Anqiu,68,36.478889,119.222778,68.0,19.0,9.0,1.0,11-30-2021
407,Chelyabinsk,182,55.11245,61.4248,182.0,0.0,18.0,0.0,11-30-2021
409,Asansol,151,23.6871984,86.9461361,151.0,55.0,16.0,1.0,11-30-2021
410,Shouguang,65,36.868333,118.735278,65.0,23.0,8.0,1.0,11-30-2021
411,Changzhou,50,31.810077,119.974454,50.0,58.0,1.0,1.0,11-30-2021
412,Ulsan,27,35.5383773,129.3113596,25.0,19.0,2.0,0.0,11-30-2021
413,Zhuji,82,29.713667,120.236304,82.0,28.0,1.0,1.0,11-30-2021
414,Toluca ,117,19.294298341379,-99.655297086786,117.0,32.0,12.0,0.0,11-30-2021
417,Tbilisi,153,41.708829,44.799661,153.0,26.0,20.0,0.0,11-30-2021
421,Faridabad,236,28.41012222,77.313775,236.0,87.0,7.0,1.0,11-30-2021
427,Zigong,178,29.33903,104.778442,178.0,90.0,3.0,0.0,11-30-2021
